day_type,weather_condition,recommended_start,recommended_end,predicted_volume,daily_peak_volume,pct_below_peak,is_genuine_trough,recommendation_text
weekday,any (typical mix),10:00 AM,11:00 AM,4511.0,6452.6,30.1,True,"For a weekday journey, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4511, 30% below the daily peak of approximately 6453)."
weekday,Clear,10:00 AM,11:00 AM,4480.5,6496.5,31.0,True,"For a weekday journey during clear conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4481, 31% below the daily peak of approximately 6497)."
weekday,Clouds,10:00 AM,11:00 AM,4554.4,6549.9,30.5,True,"For a weekday journey during clouds conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4554, 30% below the daily peak of approximately 6550)."
weekday,Drizzle,10:00 AM,11:00 AM,4475.3,6597.9,32.2,True,"For a weekday journey during drizzle conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4475, 32% below the daily peak of approximately 6598)."
weekday,Fog,10:00 AM,11:00 AM,4511.5,6524.2,30.8,True,"For a weekday journey during fog conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4511, 31% below the daily peak of approximately 6524)."
weekday,Haze,10:00 AM,11:00 AM,4552.8,6499.2,29.9,True,"For a weekday journey during haze conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4553, 30% below the daily peak of approximately 6499)."
weekday,Mist,10:00 AM,11:00 AM,4531.8,6492.1,30.2,True,"For a weekday journey during mist conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4532, 30% below the daily peak of approximately 6492)."
weekday,Rain,10:00 AM,11:00 AM,4520.3,6301.1,28.3,True,"For a weekday journey during rain conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4520, 28% below the daily peak of approximately 6301)."
weekday,Smoke,10:00 AM,11:00 AM,4649.7,6464.6,28.1,True,"For a weekday journey during smoke conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4650, 28% below the daily peak of approximately 6465)."
weekday,Snow,10:00 AM,11:00 AM,4334.1,5825.0,25.6,True,"For a weekday journey during snow conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4334, 26% below the daily peak of approximately 5825)."
weekday,Squall,10:00 AM,11:00 AM,4493.9,6475.7,30.6,True,"For a weekday journey during squall conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4494, 31% below the daily peak of approximately 6476)."
weekday,Thunderstorm,10:00 AM,11:00 AM,4588.9,6507.7,29.5,True,"For a weekday journey during thunderstorm conditions, consider travelling between 10:00 AM and 11:00 AM, when historical traffic volumes dip to a local low between the morning and evening rush periods (predicted volume approximately 4589, 29% below the daily peak of approximately 6508)."
weekend,any (typical mix),7:00 AM,8:00 AM,2123.0,4728.5,55.1,False,"For a weekend journey, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2123, 55% below the daily peak of approximately 4729)."
weekend,Clear,7:00 AM,8:00 AM,2159.4,4771.7,54.7,False,"For a weekend journey during clear conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2159, 55% below the daily peak of approximately 4772)."
weekend,Clouds,7:00 AM,8:00 AM,2167.0,4703.3,53.9,False,"For a weekend journey during clouds conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2167, 54% below the daily peak of approximately 4703)."
weekend,Drizzle,7:00 AM,8:00 AM,2164.8,4699.4,53.9,False,"For a weekend journey during drizzle conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2165, 54% below the daily peak of approximately 4699)."
weekend,Fog,7:00 AM,8:00 AM,2118.0,4775.7,55.7,False,"For a weekend journey during fog conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2118, 56% below the daily peak of approximately 4776)."
weekend,Haze,7:00 AM,8:00 AM,2013.8,4705.3,57.2,False,"For a weekend journey during haze conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2014, 57% below the daily peak of approximately 4705)."
weekend,Mist,7:00 AM,8:00 AM,2019.3,4733.1,57.3,False,"For a weekend journey during mist conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2019, 57% below the daily peak of approximately 4733)."
weekend,Rain,7:00 AM,8:00 AM,2150.4,4819.0,55.4,False,"For a weekend journey during rain conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2150, 55% below the daily peak of approximately 4819)."
weekend,Smoke,7:00 AM,8:00 AM,1910.0,4810.2,60.3,False,"For a weekend journey during smoke conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 1910, 60% below the daily peak of approximately 4810)."
weekend,Snow,7:00 AM,8:00 AM,1740.9,4583.2,62.0,False,"For a weekend journey during snow conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 1741, 62% below the daily peak of approximately 4583)."
weekend,Squall,7:00 AM,8:00 AM,2166.7,4666.3,53.6,False,"For a weekend journey during squall conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2167, 54% below the daily peak of approximately 4666)."
weekend,Thunderstorm,7:00 AM,8:00 AM,2073.5,4482.0,53.7,False,"For a weekend journey during thunderstorm conditions, there is no significant midday dip between rush periods; the lowest point within typical travel hours is around 7:00 AM to 8:00 AM (predicted volume approximately 2073, 54% below the daily peak of approximately 4482)."
